idiom	alts
go_hand_in_hand	[]
go_out_of_one's_way	[]
go_out_on_a_limb	[]
go_out_with_a_bang	[]
go_over_someone's_head	[]
go_pear-shaped	"[""go pearshaped"", ""go pear shaped""]"
go_the_distance	[]
go_the_extra_mile	[]
go_the_whole_hog	"[""go whole hog""]"
go_through_the_motions	[]
go_through_with	[]
go_to_great_lengths	"[""go to extraordinary lengths""]"
go_to_someone's_head	[]
go_to_the_polls	[]
go_to_the_wall	[]
go_underground	[]
go_up_in_flames	[]
go_up_in_smoke	[]
go_with_the_flow	[]
go_without_saying	[]
go-getter	[]
golden_handshake	[]
golden_opportunity	[]
golden_parachute	[]
gone_with_the_wind	[]
good_as_one's_word	[]
good_enough_to_eat	[]
good_for_nothing	[]
good-for-nothing	"[""good for nothing""]"
good-hearted	[]
grasp_the_nettle	[]
grease_the_wheels	[]
great_unwashed	[]
green_with_envy	[]
greener_pastures	[]
grind_to_a_halt	[]
ground-breaking	[]
guilty_pleasure	[]
hair_of_the_dog	[]
hair-splitting	[]
hale_and_hearty	"[""hale and hardy""]"
half-baked	"[""half baked"", ""halfbaked""]"
half-naked	"[""half naked""]"
half-pint	[]
halfway_decent	[]
hammer_and_sickle	[]
hammer_and_tongs	[]
hand_over_fist	[]
hand_over_hand	[]
hand-in-glove	[]
hand-to-mouth	[]
handwriting_on_the_wall	[]
hang_in_the_balance	[]
hang_one's_hat	[]
hang_one's_hat_on	[]
hang_up_one's_boots	[]
happily_ever_after	[]
hard_nut_to_crack	"[""harder nut to crack"", ""hardest nut to crack"", ""difficult nut to crack"", ""tough nut to crack""]"
hard_of_hearing	[]
hard_pill_to_swallow	"[""difficult pill to swallow""]"
hard-and-fast	"[""hard and fast""]"
hard-nosed	[]
hard-pressed	"[""hard pressed"", ""hardpressed""]"
have_a_good_time	[]
have_a_handle_on	[]
have_a_mind_of_one's_own	[]
have_a_mountain_to_climb	[]
have_a_nice_day	[]
have_an_eye_for	[]
have_been_around	"[""have been around the block""]"
have_blood_on_one's_hands	[]
have_it_both_ways	[]
have_it_in_for	[]
have_one's_cake_and_eat_it_too	"[""eat one's cake and have it too""]"
have_one's_eye_on	[]
have_one's_hands_full	"[""have one's handful""]"
have_one's_name_on	"[""have one's name all over"", ""have one's name written all over""]"
have_one's_way	[]
have_one's_way_with	[]
have_second_thoughts	[]
have_someone_going	[]
have_someone's_back	"[""cover someone's back"", ""have got someone's back"", ""get someone's back""]"
have_someone's_number	"[""get someone's number""]"
have_the_floor	[]
have_the_last_laugh	"[""get the last laugh""]"
have_the_time_of_one's_life	[]
he-man	[]
head_and_shoulders	[]
head_for_the_hills	[]
head_over_heels	[]
head_scratcher	"[""head-scratcher""]"
head-on	"[""head on""]"
head-scratching	"[""head scratching""]"
head-the-ball	[]
heads_or_tails	[]
heads_will_roll	[]
heads-up	"[""heads up""]"
heart_and_soul	[]
heart_of_hearts	[]
heart_to_heart	"[""heart-to-heart""]"
heart-breaking	[]
hedge_one's_bets	[]
hell_or_high_water	[]
here_we_go_again	[]
hiding_to_nothing	[]
high_and_mighty	[]
high_on_the_hog	"[""high off the hog""]"
highway_robbery	"[""highway-robbery""]"
hindsight_is_20/20	[]
hit_the_big_time	[]
hit_the_bottle	[]
hit_the_buffers	[]
hit_the_ground_running	[]
hit_the_headlines	[]
hit_the_jackpot	[]
hit_the_nail_on_the_head	[]
hit_the_pavement	[]
hither_and_yon	[]
hive_of_activity	[]
hold_one's_breath	[]
hold_one's_head_high	[]
hold_one's_horses	[]
hold_one's_nerve	[]
hold_one's_own	[]
hold_one's_tongue	[]
hold_someone's_feet_to_the_fire	[]
hold_someone's_hand	[]
hold_the_phone	[]
hold_the_reins	[]
hold_up_one's_end	[]
hold-up_play	[]
holding_pattern	[]
home_and_hosed	[]
home_away_from_home	"[""home from home""]"
home_sweet_home	[]
honorable_mention	"[""honourable mention""]"
hook,_line_and_sinker	"[""rod, line and sinker""]"
hop,_skip,_and_a_jump	[]
hope_against_hope	[]
hormone_therapy	[]
horses_for_courses	"[""courses for horses""]"
hot_and_bothered	[]
hot_on_someone's_heels	[]
hot_under_the_collar	[]
house_of_cards	[]
household_name	[]
hugs_and_kisses	[]
hurt_someone's_feelings	[]
husband_and_wife	[]
hustle_and_bustle	"[""hustle-bustle""]"
if_i_do_say_so_myself	"[""if I say so myself"", ""though I say so myself"", ""though I say it myself""]"
if_nothing_else	[]
ifs,_ands,_or_buts	[]
in_a_heartbeat	[]
in_a_league_of_one's_own	[]
in_all_honesty	[]
in_all_one's_glory	[]
in_any_way,_shape,_or_form	[]
in_at_the_deep_end	[]
in_black_and_white	[]
in_for_the_kill	[]
in_from_the_cold	[]
in_layman's_terms	[]
in_living_memory	[]
in_no_small_measure	[]
